Ion	Charge	Crystal Radius	Ionic Radius
Mn	6	0.395	0.255
Mn	7	0.39	0.25
Mn	7	0.6	0.46
Mo	3	0.83	0.69
Mo	4	0.79	0.65
Mo	5	0.6	0.46
Mo	5	0.75	0.61
Mo	6	0.55	0.41
Mo	6	0.64	0.5
Mo	6	0.73	0.59
Mo	6	0.87	0.73
N	-3	1.32	1.46
N	3	0.3	0.16
N	5	0.044	-0.104
N	5	0.27	0.13
Na	1	1.13	0.99
Na	1	1.14	1
Na	1	1.16	1.02
Na	1	1.26	1.12
Na	1	1.32	1.18
Na	1	1.38	1.24
Na	1	1.53	1.39
Nb	3	0.86	0.72
Nb	4	0.82	0.68
Nb	4	0.93	0.79
Nb	5	0.62	0.48
Nb	5	0.78	0.64
Nb	5	0.83	0.69
Nb	5	0.88	0.74
Nd	2	1.43	1.29
Nd	2	1.49	1.35
Nd	3	1.123	0.983
Nd	3	1.249	1.109
Nd	3	1.303	1.163
Nd	3	1.41	1.27
Ni	2	0.69	0.55
Ni	2	0.63	0.49
Ni	2	0.77	0.63
Ni	2	0.83	0.69
Ni	3	0.7	0.56
Ni	3	0.74	0.6
Ni	4	0.62	0.48
No	2	1.24	1.1
Np	2	1.24	1.1
Np	3	1.15	1.01
Np	4	1.01	0.87
Np	4	1.12	0.98
Np	5	0.89	0.75
Np	6	0.86	0.72
Np	7	0.85	0.71
O	-2	1.21	1.35
O	-2	1.22	1.36
O	-2	1.24	1.38
O	-2	1.26	1.4
O	-2	1.28	1.42
OH	-1	1.18	1.32
OH	-1	1.2	1.34
OH	-1	1.21	1.35
OH	-1	1.23	1.37
Os	4	0.77	0.63
Os	5	0.715	0.575
Os	6	0.63	0.49
Os	6	0.685	0.545
Os	7	0.665	0.525
Os	8	0.53	0.39
P	3	0.58	0.44
P	5	0.31	0.17
P	5	0.43	0.29
P	5	0.52	0.38
Pa	3	1.18	1.04
Pa	4	1.04	0.9
Pa	4	1.15	1.01
Pa	5	0.92	0.78
Pa	5	1.05	0.91
Pa	5	1.09	0.95
Pb	2	1.12	0.98
Pb	2	1.33	1.19
Pb	2	1.37	1.23
Pb	2	1.43	1.29
Pb	2	1.49	1.35
Pb	2	1.54	1.4
Pb	2	1.59	1.45
Pb	2	1.63	1.49
Pb	4	0.79	0.65
Pb	4	0.87	0.73
Pb	4	0.915	0.775
Pb	4	1.08	0.94
Pd	1	0.73	0.59
Pd	2	0.78	0.64
Pd	2	1	0.86
Pd	3	0.9	0.76
Pd	4	0.755	0.615
Pm	3	1.11	0.97
Pm	3	1.233	1.093
Pm	3	1.284	1.144
Po	4	1.08	0.94
Po	4	1.22	1.08
Po	6	0.81	0.67
Pr	3	1.13	0.99
Pr	3	1.266	1.126
Pr	3	1.319	1.179
Pr	4	0.99	0.85
Pr	4	1.1	0.96
Pt	2	0.74	0.6
Pt	2	0.94	0.8
Pt	4	0.765	0.625
Pt	5	0.71	0.57
Pu	3	1.14	1
Pu	4	1	0.86
Pu	4	1.1	0.96
Pu	5	0.88	0.74
Pu	6	0.85	0.71
Ra	2	1.62	1.48
Ra	2	1.84	1.7
Rb	1	1.66	1.52
Rb	1	1.7	1.56
Rb	1	1.75	1.61
Rb	1	1.77	1.63
Rb	1	1.8	1.66
Rb	1	1.83	1.69
Rb	1	1.86	1.72
Rb	1	1.97	1.83
Re	4	0.77	0.63
Re	5	0.72	0.58
Re	6	0.69	0.55
Re	7	0.52	0.38
Re	7	0.67	0.53
Rh	3	0.805	0.665
Rh	4	0.74	0.6
Rh	5	0.69	0.55
Ru	3	0.82	0.68
Ru	4	0.76	0.62
Ru	5	0.705	0.565
Ru	7	0.52	0.38
Ru	8	0.5	0.36
S	-2	1.7	1.84
S	4	0.51	0.37
S	6	0.26	0.12
S	6	0.43	0.29
Sb	3	0.9	0.76
Sb	3	0.94	0.8
Sb	3	0.9	0.76
Sb	5	0.74	0.6
Sc	3	0.885	0.745
Sc	3	1.01	0.87
Se	-2	1.84	1.98
Se	4	0.64	0.5
Se	6	0.42	0.28
Se	6	0.56	0.42
Si	4	0.4	0.26
Si	4	0.54	0.4
Sm	2	1.36	1.22
Sm	2	1.41	1.27
Sm	2	1.46	1.32
Sm	3	1.098	0.958
Sm	3	1.16	1.02
Sm	3	1.219	1.079
Sm	3	1.272	1.132
Sm	3	1.38	1.24
Sn	4	0.69	0.55
Sn	4	0.76	0.62
Sn	4	0.83	0.69
Sn	4	0.89	0.75
Sn	4	0.95	0.81
Sr	2	1.32	1.18
Sr	2	1.35	1.21
Sr	2	1.4	1.26
Sr	2	1.45	1.31
Sr	2	1.5	1.36
Sr	2	1.58	1.44
Ta	3	0.86	0.72
Ta	4	0.82	0.68
Ta	5	0.78	0.64
Ta	5	0.83	0.69
Ta	5	0.88	0.74
Tb	3	1.063	0.923
Tb	3	1.12	0.98
Tb	3	1.18	1.04
Tb	3	1.235	1.095
Tb	4	0.9	0.76
Tb	4	1.02	0.88
Tc	4	0.785	0.645
Tc	5	0.74	0.6
Tc	7	0.51	0.37
Tc	7	0.7	0.56
Te	-2	2.07	2.21
Te	4	0.66	0.52
Te	4	0.8	0.66
Te	4	1.11	0.97
Te	6	0.57	0.43
Te	6	0.7	0.56
Th	4	1.08	0.94
Th	4	1.19	1.05
Th	4	1.23	1.09
Th	4	1.27	1.13
Th	4	1.32	1.18
Th	4	1.35	1.21
Ti	2	1	0.86
Ti	3	0.81	0.67
Ti	4	0.56	0.42
Ti	4	0.65	0.51
Ti	4	0.745	0.605
Ti	4	0.88	0.74
Tl	1	1.64	1.5
Tl	1	1.73	1.59
Tl	1	1.84	1.7
Tl	3	0.89	0.75
Tl	3	1.025	0.885
Tl	3	1.12	0.98
Tm	2	1.17	1.03
Tm	2	1.23	1.09
Tm	3	1.02	0.88
Tm	3	1.134	0.994
Tm	3	1.192	1.052
U	3	1.165	1.025
